event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
2214,4,9,3,6,5,1,1,3,3,1.1832786798477173,5.389174212153961,29.043198688945267,0.6455903511880764,0.9411437251167738,0.012633338963028134
2675,4,12,3,6,5,1,1,3,3,1.9160162210464478,8.562577817820058,73.3177388862241,0.6475644265721034,0.9439144611472994,0.018384587316994123
4074,3,9,4,5,6,1,1,3,3,1.264811396598816,4.752908191061356,22.59013627265813,0.635547132834491,0.9135015416212211,0.011464388288379222
4909,3,9,4,5,6,1,1,3,3,1.606606364250183,5.471612586279407,29.938544294331223,0.6310538574694339,0.8973669403167599,0.011234857099526836
