event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
0,9,10,13,11,12,21,21,21,21,0.676478922367096,1.3893926393683127,1.9304119063308463,0.387289376912418,0.525714051062611,3.051759007632648e-05
5,16,7,19,17,18,21,21,21,2,0.5849303007125854,1.1719933541299525,1.3735684221247766,0.5301659477594625,0.37995503560047855,9.464947338714222e-06
5,15,17,22,20,21,21,21,21,21,0.5081658959388733,1.0619185705617642,1.1276710505039407,0.6449261455288656,0.6090865636395385,3.243838106407303e-07
8,14,13,17,15,16,21,21,21,2,1.4509437084197998,2.90400637979325,8.433253053879898,0.5190966732687764,0.417490017336171,1.3951593644187804e-05
8,16,17,20,18,19,21,21,21,2,1.417799949645996,5.561328019053018,30.928369335504172,0.9301232518724033,0.170962743649443,1.7091911202636974e-05
8,18,19,23,21,22,21,21,21,21,0.7641714215278625,1.5305870127840433,2.3426966037031813,0.47293427619420525,0.3685949584958022,2.0628322002943206e-07
8,22,23,26,24,25,21,21,21,21,0.5845417976379395,1.1898921830405804,1.415843407261078,0.5930988873635192,0.844304169447998,3.077876687313731e-07
8,26,25,29,27,28,21,21,21,21,0.5348796248435974,1.0721532624066479,1.1495126180892186,0.4666073430816939,0.4567644625462892,1.4136482746161726e-07
12,17,18,22,20,21,21,21,21,21,0.5456556677818298,1.1753082313354972,1.3813494386449747,0.3145496979286176,0.18979862235260814,4.523772647725633e-06
17,22,21,80,78,79,21,21,21,21,2.186575412750244,4.429738678525557,19.622584760025347,0.5796658513313828,0.5842164825688209,3.905468986115528e-06
17,34,33,71,69,70,21,21,21,21,2.3971059322357178,5.256632720733681,27.63218756068798,0.7050607031677868,0.5945565910808674,2.7677678497145637e-07
17,70,69,111,109,110,21,21,21,21,1.5451699495315552,3.1096258320097823,9.66977281510253,0.4443996361319331,0.7035627756910857,2.1490760299348766e-07
17,73,74,94,92,93,21,21,21,21,1.9666054248809814,5.16168438615601,26.64298570228675,0.8237844308926102,0.8289316534302109,4.752793047065408e-06
17,205,76,216,214,215,21,21,21,21,0.6720443367958069,1.3725387756024796,1.8838626905323537,0.6012672124114885,0.10092517203749382,5.033417270795862e-07
17,78,79,123,121,122,21,21,21,21,1.208150863647461,2.509965924669992,6.299928943004488,0.6352382271387953,0.36079011900420543,3.815162898494067e-06
17,123,80,141,139,140,21,21,21,21,1.0689575672149658,2.5345645486769985,6.424017451410236,0.23144010485198832,0.17563343862909217,5.031211082975308e-07
17,129,81,222,220,221,21,21,21,2,0.6374541521072388,1.645545852823249,2.7078211537437937,0.8161260440503195,0.6387695147197149,3.677297436968406e-07
17,83,82,129,127,128,21,21,21,21,1.1625587940216064,2.946680409666371,8.682925436711571,0.8071559610748732,0.827832684161483,4.805480091749757e-07
17,93,94,104,102,103,21,21,21,21,1.7293528318405151,3.5166424342574008,12.366774010419817,0.4096140106132007,0.37216784011707715,8.71049031357496e-07
17,148,95,165,163,164,21,21,21,2,0.9273741841316223,1.869847495049202,3.496329654741775,0.43658675160429916,0.3443232595909779,4.352216972864054e-07
17,96,97,150,148,149,21,21,21,21,1.014506220817566,2.2335052798167983,4.988545834969513,0.709004368596535,0.49566447549805737,1.333882835658468e-06
17,101,100,204,202,203,21,21,21,21,0.725586473941803,2.338508855798396,5.468623668647524,0.8920825849176641,0.8997754622898659,3.326799476573575e-06
17,92,102,153,151,152,21,21,21,21,0.9926475286483765,2.1391499939028433,4.5759626964145355,0.6861292319968298,0.6891787582485084,1.0745380149674383e-06
17,107,108,120,118,119,21,21,21,21,1.3058950901031494,4.273895502813975,18.266182768973522,0.8962607553256131,0.8970330987746633,2.0937632145501285e-05
17,109,110,114,112,113,21,21,21,21,1.3682782649993896,2.74149719865929,7.515806890256736,0.5300047356483708,0.7988132048940667,1.8238710857769322e-07
17,71,112,228,226,227,21,21,21,21,0.6044700145721436,1.4601280714615525,2.131973985070033,0.7803883857004101,0.796975774938953,4.955616339539257e-07
17,119,118,138,136,137,21,21,21,21,1.1259039640426636,2.2503120808981856,5.063904461436323,0.48192637694296475,0.1291154756184389,4.718520867940024e-05
17,122,121,249,247,248,21,21,21,21,0.5644795894622803,1.1554168862695506,1.3349881810768238,0.39363953111201344,0.4787586137710042,2.700689019968317e-06
17,124,125,177,175,176,21,21,21,21,0.8200567960739136,1.731131630417069,2.9968167218304593,0.6599921137859585,0.831232008930144,2.3326981372316582e-07
17,128,127,234,232,233,21,21,21,21,0.5926905274391174,1.2035515655900306,1.4485363710342138,0.5865544318842201,0.09519919499061873,2.6616931971753016e-07
17,120,136,174,172,173,21,21,21,21,0.8685410022735596,3.1878781836607075,10.162567313859892,0.9192497536822576,0.8753553660950295,6.855350273221396e-07
17,192,137,195,193,194,21,21,21,21,0.7521057724952698,1.5476552539925443,2.3952367852107272,0.6160999993345251,0.02193645969219979,2.5558691141174275e-05
17,163,149,171,169,170,21,21,21,21,0.875175952911377,1.9209431972007316,3.6900227668717687,0.705988747795886,0.7506973120293521,1.2644054553268208e-07
17,103,153,159,157,158,21,21,21,21,0.9570028185844421,1.9383965078908714,3.757381021803525,0.4209293051048964,0.05713207961239017,5.413860715801999e-07
17,219,154,231,229,230,21,21,21,1,0.603769838809967,1.2735232331633368,1.6218614254067987,0.6588559199106216,0.5109759707059549,2.1542358837725164e-07
17,156,155,219,217,218,21,21,21,21,0.6494429111480713,2.719410425921544,7.395193064610794,0.9392713883252892,0.9606684687899254,9.013379716629921e-06
17,159,158,210,208,209,21,21,21,21,0.716278076171875,1.4746995160437417,2.174738662619646,0.6186758457406418,0.4716679814827698,2.5596295872780507e-07
17,161,160,246,244,245,21,21,21,21,0.5649269223213196,1.1422988264678202,1.3048466089497595,0.4264007271025468,0.925328653491546,4.443814228486985e-07
17,183,174,192,190,191,21,21,21,21,0.7567623257637024,1.5198037200354828,2.309803347433692,0.5454024953664109,0.1954545692287562,5.614021440741994e-07
17,175,176,261,259,260,21,21,21,21,0.5485002994537354,1.1103228772794982,1.2328168918102236,0.42277879631460663,0.2088029854173794,1.548574096771071e-07
17,185,184,201,199,200,21,21,21,21,0.7454850077629089,1.5082079946445297,2.274691355109674,0.5753785694703509,0.646352644003813,1.7071424778386353e-07
17,223,187,276,274,275,21,21,21,-1,0.5031077861785889,1.0248811067098658,1.0503812828908394,0.40498580588272465,0.3816751241833173,2.384185791015625e-07
17,188,189,225,223,224,21,21,21,3,0.6339709758758545,1.8927912299138543,3.582658640038801,0.8712365274850544,0.9371955168540581,8.663202437012573e-07
17,190,191,243,241,242,21,21,21,21,0.5699970126152039,1.1400802370632213,1.299782946942131,0.4938488987320308,0.7151011908093241,1.219712610821791e-07
17,131,196,240,238,239,21,21,21,21,0.5755105018615723,1.1959218637652709,1.430229104231799,0.6357213997533764,0.5646594444263032,6.529786769928183e-07
17,209,208,258,256,257,21,21,21,21,0.5518768429756165,1.115109966058651,1.2434702364033257,0.4288370861054028,0.016800937040258486,3.935606557101677e-07
17,229,230,252,250,251,21,21,21,21,0.5636715888977051,1.1285287898609273,1.2735772295449692,0.47707951580697866,0.3143714457508091,7.450580596923828e-08
17,234,233,270,268,269,21,21,21,21,0.5295397639274597,1.065597600651769,1.135498246514807,0.5552244233692004,0.286357101211798,3.794725230380123e-07
17,248,249,264,262,263,21,21,21,21,0.5389396548271179,1.0778664482811888,1.161796080330305,0.4980906275112015,0.14720000266117284,1.0667607980427408e-06
17,254,253,273,271,272,21,21,21,21,0.5095380544662476,1.0678817679721977,1.1403714703674268,0.3506588468945128,0.8847866101834058,1.821373632380572e-06
18,8,9,26,24,25,21,21,21,1,0.7982398867607117,1.608060040023487,2.585857092320339,0.5598907405279226,0.5343234692449527,3.6863436927953305e-07
18,13,12,20,18,19,21,21,21,21,0.9456020593643188,1.9773963576400493,3.9100963552081334,0.3539884067456894,0.2238311103668283,1.850685827191803e-07
18,19,18,23,21,22,21,21,21,21,0.8156570196151733,1.6360308385339366,2.6765969046340556,0.4620594986291855,0.3026781888718489,4.9421560620597e-08
18,20,21,29,27,28,21,21,21,21,0.7359308004379272,1.472158951773788,2.1672519792876983,0.4898590174799375,0.5622533441917807,2.1900144899933143e-07
21,12,11,20,18,19,21,21,21,1,0.8834241032600403,1.8196981326146096,3.3113012938410975,0.6143057755590295,0.20507101827148697,2.7508305928590188e-05
22,52,11,61,59,60,21,21,21,-3,0.6719667911529541,1.7399072298532556,3.0272771684956297,0.8175603538787596,0.7635007875687316,1.513770234489476e-06
22,24,23,27,25,26,21,21,21,21,1.090441346168518,5.2403010829760595,27.460755440240064,0.9546415268933479,0.9558039647323454,3.1359422041110245e-06
22,26,25,30,28,29,21,21,21,21,1.062120795249939,2.1286433026994485,4.531122310127216,0.532128933558967,0.8782896791536176,4.980235603066982e-06
22,28,27,43,41,42,21,21,21,21,0.8081970810890198,1.7106784169941365,2.9264206463695643,0.6637020066568705,0.6581236318914486,9.833919694606737e-07
22,29,30,46,44,45,21,21,21,21,0.7668440341949463,1.729845304204096,2.992364776476961,0.2687323269199606,0.7246536470262791,2.351688901351344e-06
22,37,36,40,38,39,21,21,21,21,0.8212682604789734,1.6518668166120347,2.7286639798239776,0.5527090096037727,0.18231360352258993,3.016429458167931e-06
22,38,39,58,56,57,21,21,21,21,0.6771137714385986,1.354214067457536,1.8338957404998837,0.49829939316134686,0.4620999371036428,3.0161142914640365e-06
22,42,43,49,47,48,21,21,21,21,0.7386978268623352,1.6661186304485889,2.775951290727882,0.7311447977210956,0.728894873215857,1.863311449567187e-06
22,48,49,64,62,63,21,21,21,21,0.5516117811203003,1.2104711901287575,1.4652405021317305,0.705760692925867,0.570874065862701,7.747429784081567e-07
24,10,9,13,11,12,21,21,21,21,0.7330937385559082,3.4405876684454904,11.837643504259177,0.952418727602197,0.9543017567013248,2.0372808511371025e-06
29,8,9,12,10,11,21,21,21,-1,0.712179958820343,1.618492938936912,2.619519393388643,0.2625640943570628,0.23912263920411722,4.1995110127454855e-07
29,11,12,15,13,14,21,21,21,-1,0.5981967449188232,1.2714939288210105,1.6166968110286888,0.6692936499642631,0.8181495671138838,3.937545496739093e-07
30,8,9,12,10,11,21,21,21,1,0.6940706968307495,1.8062503757638564,3.2625404199470722,0.8199184800522265,0.8507100018107009,3.217581343902526e-07
33,8,7,12,10,11,21,21,21,-2,0.6708171367645264,1.3479124917880208,1.8168680855181911,0.5482008509942469,0.7066997381753182,1.636612288565007e-07
33,10,9,15,13,14,21,21,21,1,0.6515476703643799,1.307717223530205,1.7101243367175485,0.45800490779901937,0.9580917053247399,4.300734308261219e-07
35,9,10,13,11,12,21,21,21,21,0.7373163104057312,1.4907004224492362,2.222187749490331,0.5739642539629664,0.8682365842526005,7.263029310076984e-06
37,9,10,13,11,12,21,21,21,-1,0.6049243807792664,1.6477491774695276,2.7150773518515052,0.8391182076803594,0.8962501631311562,1.4533881009573506e-05
39,9,10,13,11,12,21,21,21,21,0.6123130917549133,1.61488049048488,2.6078389985486865,0.8069776346658964,0.875283574018821,5.1321503405936496e-05
39,13,12,16,14,15,21,21,21,21,0.5063818693161011,1.0365597256326327,1.0744560648035986,0.6063469487346049,0.7431706588231571,9.725619313390252e-06
46,11,10,15,13,14,21,21,21,2,0.579082190990448,1.2516092286918197,1.5665256613465317,0.6871058014785352,0.15418715234815802,1.5728429755439906e-05
47,12,11,15,13,14,21,21,21,21,0.5303537249565125,1.1188673371598672,1.251864118163212,0.6592159143749634,0.6962310489458315,5.395619727235297e-06
50,12,7,18,16,17,21,21,21,-2,0.7694035768508911,1.5842554209759991,2.50986523889184,0.6189032009584535,0.5203333935863792,3.82817762454305e-07
50,11,10,15,13,14,21,21,21,2,0.800652801990509,1.622433091383204,2.6322891360152596,0.5804412419486394,0.006538602909283852,2.931461886971805e-06
51,15,7,29,27,28,21,21,21,-1,0.7116386890411377,1.4637038728673357,2.1424290274468376,0.6166897719156123,0.24217411216357992,4.806057638785284e-07
51,11,12,15,13,14,21,21,21,21,1.417688250541687,4.519028699066599,20.421620382987555,0.8893361304868871,0.8859442897829376,1.7369922543642287e-06
51,19,18,22,20,21,21,21,21,2,0.9289147853851318,3.671785127981525,13.482006026066301,0.9312645679404071,0.06260684816688504,4.201853995606846e-05
51,21,20,32,30,31,21,21,21,21,0.6549330949783325,1.3304208146256928,1.7700195439892923,0.587419155636238,0.6491267664686411,1.966064086871579e-06
51,14,27,35,33,34,21,21,21,21,0.5966706871986389,1.225840547407688,1.5026850476687805,0.6143684105598908,0.6715408310656165,3.8085514066016846e-07
51,34,35,41,39,40,21,21,21,21,0.5890294909477234,1.6236394447618385,2.6362050465865314,0.8440758375449033,0.4935682172793996,1.938583229669584e-07
52,11,12,15,13,14,21,21,21,21,0.9541504383087158,5.092897206817258,25.93760195920703,0.9635733406357173,0.965783213178228,1.3759590560381073e-06
53,14,13,21,19,20,21,21,21,2,0.7814401984214783,1.5803556898974673,2.4975241065912996,0.5741487998226308,0.7219409539053607,2.6989646263558408e-06
53,18,15,24,22,23,21,21,21,21,0.6797177791595459,1.3634329753182317,1.8589494781851261,0.5382590972080334,0.4969187332006299,9.06402249678704e-08
53,24,19,30,28,29,21,21,21,21,0.5575610995292664,1.1151742758737613,1.2436136655705678,0.4951645747052229,0.21405324883512006,1.2165400908110242e-06
53,30,20,33,31,32,21,21,21,21,0.5331780910491943,1.0817027994022888,1.170080946234748,0.41620534220665123,0.31284906020607817,1.4306512268020816e-06
56,19,18,26,24,25,21,21,21,21,0.8250789046287537,1.6722488913873519,2.7964163547462277,0.41899641245729086,0.3694604555693972,4.7158408541873706e-08
56,30,25,35,33,34,21,21,21,21,0.6854076981544495,1.3791407349688516,1.9020291668504243,0.445143878733502,0.7140106964509757,9.18569267238524e-08
59,8,9,12,10,11,21,21,21,2,0.7548221349716187,3.49607572172025,12.222545452001768,0.9509820751652955,0.24203303403273896,5.508449712659654e-05
59,13,10,18,16,17,21,21,21,21,0.5722209811210632,1.6815764340367005,2.827699303507586,0.8663381724157243,0.9346771746869006,6.818807833580703e-07
59,11,12,15,13,14,21,21,21,2,0.6706992387771606,2.324499104407548,5.403296086391492,0.9083574442297686,0.26789693370400647,1.76655390974078e-05
59,14,15,21,19,20,21,21,21,2,0.5471815466880798,1.09478843143476,1.198561709603382,0.4854611134344728,0.4644993139015248,4.2350017662161894e-05
59,19,16,24,22,23,21,21,21,21,0.5303040146827698,1.2257597465161687,1.502486956179382,0.7506825090592018,0.725378194409606,4.909632998182922e-06
60,8,7,12,10,11,21,21,21,-1,0.6700435280799866,1.3583519481624737,1.8451200150767875,0.4182838668888662,0.47689861869170314,1.5093633248925924e-06
61,8,9,12,10,11,21,21,21,-1,0.6147829294204712,1.8927094097713455,3.5823489098369947,0.11987601483265366,0.6101887793699642,3.540468549271282e-06
75,8,7,12,10,11,21,21,21,-1,0.5760317444801331,1.1807589430193366,1.394191681520141,0.6095470789901966,0.21972147705913345,5.340044792648948e-07
77,12,11,15,13,14,21,21,21,21,0.557182788848877,1.186765444423883,1.4084122200786169,0.6719705571255041,0.3768183219199932,2.6702886056487075e-05
80,12,11,16,14,15,21,21,21,21,0.783850908279419,1.5690207144404167,2.4618260023431158,0.5204965515379851,0.29820503462641973,1.55572690202453e-07
80,18,17,25,23,24,21,21,21,3,0.5328762531280518,1.1491164798752935,1.3204686843209856,0.6870591613114237,0.4672550030968527,5.395014379335281e-06
82,12,13,20,18,19,21,21,21,2,0.8799322247505188,1.8938832098141456,3.5867936124159314,0.6858056594864606,0.007561591666111827,3.0302691046848338e-05
83,8,7,12,10,11,21,21,21,-2,0.5591486692428589,1.3561295370993927,1.839087321393413,0.7828404244579674,0.8155024029679225,1.4938367646756338e-07
89,16,11,19,17,18,21,21,21,1,0.9135797619819641,1.9017463976833922,3.6166393611017584,0.6386561592056919,0.4687186254216201,6.828569911354542e-08
89,20,14,25,23,24,21,21,21,-2,0.6753898859024048,1.5265868387280104,2.3304673761775803,0.7329568572476909,0.8785276342537958,3.844420172089185e-06
89,15,17,22,20,21,21,21,21,21,0.7473196983337402,1.68561277610687,2.841290430974709,0.731168485703977,0.7243504703005903,1.7695128917694092e-06
89,24,23,28,26,27,21,21,21,21,0.627009928226471,1.2547127263283542,1.5743040256103313,0.5166288996991406,0.6953139289989491,9.541398640621973e-07
90,8,9,12,10,11,21,21,21,-2,0.9115355610847473,3.9512585782837615,15.612444352461011,0.9435987362960869,0.9435007805406664,8.439853911970084e-07
90,11,12,18,16,17,21,21,21,-2,0.7701582312583923,2.3057244339964256,5.316365165528136,0.8720626158926238,0.3142421515433275,6.669212596717782e-07
90,14,15,31,29,30,21,21,21,21,0.5022686123847961,1.1336025727737609,1.28505479299929,0.26707473179558766,0.2344451674858686,1.8094759271244903e-05
90,22,21,25,23,24,21,21,21,21,0.5658777356147766,1.1584014826376041,1.3418939949769992,0.6085712704411751,0.5891278694844866,1.071562383985421e-05
90,24,25,28,26,27,21,21,21,21,0.5334984064102173,1.0810487286062178,1.16866635362112,0.5806078391524205,0.7043672537946807,3.1359444168085185e-06
92,20,10,25,23,24,21,21,21,-3,0.5254601836204529,1.1572863587098436,1.3393117160558887,0.29061080590773003,0.14472710180603182,6.039108076441122e-07
92,11,12,19,17,18,21,21,21,21,0.6717455983161926,2.857243763717324,8.16384192530154,0.9412783444236391,0.961253852525811,2.3868036984862905e-07
92,17,18,22,20,21,21,21,21,21,0.6667004823684692,1.3336542367652662,1.7786336232419444,0.4902234006661012,0.39799509819429685,9.636214254923026e-07
92,14,28,13,15,16,21,21,21,21,1.1561248302459717,3.1436274057698363,9.88239326630719,0.3864751549909539,0.16199229364550985,0.0035035866658979717
96,15,12,18,16,17,21,21,21,21,0.6050034761428833,1.4441030172363223,2.08543352439105,0.7729155353573764,0.7712369190349752,1.3200780505150617e-06
96,16,14,21,19,20,21,21,21,21,0.5857127904891968,1.335434919223845,1.7833864234823977,0.7400756552219419,0.8439936636643642,3.5081080695967536e-06
96,17,18,27,25,26,21,21,21,21,0.5386373996734619,1.7234215651957345,2.9701818913817153,0.8902807331188555,0.5924614646982858,1.91964899482583e-06
96,19,20,24,22,23,21,21,21,21,0.5564073324203491,1.1239237051353088,1.2632044949650805,0.5701271000051684,0.6379126007482661,5.665014060491901e-07
98,8,9,12,10,11,21,21,21,3,0.9162787199020386,2.9898906009937067,8.939445805910509,0.8952942809749568,0.8953457913740549,7.629641909798332e-06
98,11,12,15,13,14,21,21,21,3,0.9044525027275085,10.562768425952804,111.57207682030548,0.9926135492340313,0.9925479317571384,1.07702311010338e-05
98,14,13,18,16,17,21,21,21,21,0.6833013296127319,1.5838622732973981,2.508619700774802,0.7527478105788719,0.24116898524627473,6.323573569551227e-06
98,10,18,21,19,20,21,21,21,21,0.5042856931686401,1.203412551976231,1.4482017702539451,0.7722910313712392,0.8395503642234496,3.2592791610115385e-05
101,11,12,15,13,14,21,21,21,21,0.5148964524269104,1.042730868348283,1.0872876638063644,0.5784672440645947,0.5394102861245154,2.6144744460719817e-06
102,11,10,18,16,17,21,21,21,-3,0.7565198540687561,1.5434342324405927,2.382189229869482,0.40131342668456355,0.40339896987438395,1.907872429838022e-06
105,8,9,12,10,11,21,21,21,-1,0.5981313586235046,1.332972295867846,1.7768151415511966,0.6440681840310435,0.6550105683020176,8.529922432059144e-05
105,11,12,15,13,14,21,21,21,-1,0.5031060576438904,1.0210205273142399,1.0424829171970487,0.49075121721985915,0.24588852969240105,2.4126305302223927e-05
108,16,15,19,17,18,21,21,21,21,0.5087015628814697,1.0215996185227028,1.043665780565732,0.54524922856066,0.8946493826105748,2.9491162768449806e-06
109,10,9,25,23,24,21,21,21,21,0.7377713918685913,2.1437595028447682,4.595704806037247,0.8639545442957913,0.8825792029280036,3.075513395519729e-05
109,12,13,16,14,15,21,21,21,1,2.0583364963531494,7.345432687200699,53.955381362196476,0.9140975786591748,0.5223232732593771,4.5881825313925494e-05
109,15,14,19,17,18,21,21,21,21,1.9104194641113281,3.826525391041301,14.64229656828378,0.47275218843007977,0.46663539788682235,3.042903223136386e-07
109,17,16,22,20,21,21,21,21,1,0.7649240493774414,1.576636846685419,2.485783746326142,0.6209047041152059,0.4374106714070857,2.1490310848459978e-05
109,28,27,31,29,30,21,21,21,21,0.5919262766838074,1.2730582414127563,1.6206772860289398,0.31612938478491004,0.3732244426734683,6.493983491693413e-07
109,30,34,37,35,36,21,21,21,21,0.5680270791053772,1.6812760417117723,2.8266891284340048,0.8685849045276401,0.3473788412675877,1.3971080327480417e-06
112,12,11,15,13,14,21,21,21,21,0.6663823127746582,1.4530876656774088,2.1114637641438208,0.6992194127883747,0.476417954642399,3.54466021140078e-06
118,12,13,16,14,15,21,21,21,21,0.6094792485237122,1.2199987420817775,1.4883969306811196,0.48117680340364594,0.9775525378625236,3.544629991400871e-06
118,15,16,22,20,21,21,21,21,21,0.5207934975624084,1.0850380330436251,1.177307533151179,0.6395103530280639,0.09946323313901861,1.4330927927251119e-05
120,12,13,26,24,25,21,21,21,2,0.6669421792030334,2.275624849121618,5.178468453939786,0.9050969245346124,0.922688859931852,1.686470640797679e-06
124,15,16,23,21,22,21,21,21,21,0.7106176018714905,1.4501665067052336,2.1029828971696602,0.599377709879954,0.5710456589578855,5.340044792648948e-07
124,19,18,26,24,25,21,21,21,21,0.6698217988014221,1.3878510905965689,1.9261306496700854,0.37055719717325536,0.2780902718359424,1.2063238357688741e-05
124,14,21,32,30,31,21,21,21,21,0.5382185578346252,1.0860772503090679,1.1795637936389056,0.4335307407829346,0.37744297758322043,1.7156569569810412e-07
126,12,13,16,14,15,21,21,21,21,0.5633724331855774,1.4895619644682416,2.2187948459904874,0.8267849022637929,0.8285276249449343,9.124187369102158e-06
127,12,13,16,14,15,21,21,21,-3,0.5627842545509338,1.1359285625595232,1.2903336992385448,0.5673539608307385,0.5136379388659897,1.4328572602628884e-06
135,8,9,12,10,11,21,21,21,-3,0.9966957569122314,2.1987581074042764,4.834537214876036,0.7120158948240212,0.8632361948327241,1.2830393022433486e-05
137,8,9,12,10,11,21,21,21,-4,1.0507702827453613,2.1687923707189554,4.703660347288746,0.3764554244206256,0.39181406696073395,6.743656537294243e-07
137,11,12,19,17,18,21,21,21,-4,0.6225503087043762,1.4904059454650918,2.221309882277694,0.774813759569832,0.7928639636328199,1.2788113681356041e-06
143,8,7,12,10,11,21,21,21,-2,0.6027487516403198,1.4532756870253307,2.112010222498947,0.22074931993976168,0.3713533658199891,6.000493351998202e-07
143,10,9,15,13,14,21,21,21,1,0.577661395072937,1.6825502693936543,2.8309754090366583,0.863494086883163,0.4373290340621217,1.5568861289487016e-06
143,11,12,18,16,17,21,21,21,-2,0.5737522840499878,1.236693664543967,1.5294112199231857,0.6864381660420625,0.5623932286602645,3.01932423084261e-07
150,15,11,18,16,17,21,21,21,21,0.7650322914123535,2.027103196333298,4.109147368584672,0.8280644499038806,0.9316844040685448,1.0671314980572127e-06
150,17,16,21,19,20,21,21,21,21,0.579714834690094,1.275282712046765,1.6263459956453516,0.29184532494288723,0.7311571726015059,4.26507183116879e-06
150,19,18,27,25,26,21,21,21,21,0.5170748233795166,1.1255565084502164,1.2668774537146419,0.6973779984241847,0.7225031403755681,1.8158029459530542e-06
150,21,20,24,22,23,21,21,21,21,0.5183455944061279,1.0736398316177005,1.152702488036084,0.6297220883282558,0.6903681997808636,3.932101703660218e-06
152,12,11,15,13,14,21,21,21,21,0.5794047117233276,1.3579055496529673,1.8439074817783272,0.7606444521433317,0.7770494040716764,4.323905148669156e-07
152,15,14,18,16,17,21,21,21,21,0.5457920432090759,1.346422891332936,1.8128546023053431,0.20728920366889658,0.11933470019343072,1.96135738210204e-07
152,17,18,21,19,20,21,21,21,21,0.504037082195282,1.0787590083522642,1.1637209981011605,0.32198625176052237,0.28180915886333985,1.9039112834901568e-07
154,18,13,21,19,20,21,21,21,1,0.5579158067703247,1.2340974235462432,1.5229964508034755,0.7128055010353689,0.2631883407505274,4.7684398009218525e-05
154,15,14,18,16,17,21,21,21,21,0.6400048136711121,1.2833799348206207,1.647064057100181,0.5362387457933138,0.9945870302689231,2.2128106781317155e-06
