event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
615,4,9,3,6,5,1,1,2,2,1.462666630744934,4.521336880179877,20.442487184074707,0.6256578793367945,0.8772229760470213,0.014005018698296
923,3,23,4,5,6,1,1,2,2,1.5136700868606567,5.290239428923081,27.986633215332404,0.6355298207816821,0.9068710882880228,0.016906400748652718
1307,8,12,18,10,9,1,1,2,21,0.5428689122200012,1.7155388767916417,2.9430736377835274,0.8755585852215283,0.8755831031845336,0.01534012354493638
2743,3,13,4,5,6,1,1,2,2,1.0292880535125732,8.457110451840611,71.5227171946317,0.6621533861141031,0.9834001554292486,0.011983648895731194
2986,3,9,4,5,6,1,1,2,2,1.1485929489135742,5.261472430761309,27.683092139661312,0.6472212117332451,0.9464763401696991,0.0030971625318307735
