event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
41,7,8,12,10,11,-3,-3,21,21,0.5922737121582031,1.2555952852467314,1.5765195203338205,0.7115489299249342,0.35355003681402725,1.9039354854053742e-07
42,5,6,9,7,8,-1,-1,21,2,0.9339321851730347,4.229801327253887,17.891219268038746,0.948914650317269,0.09070859756518292,3.901119180293899e-05
42,9,8,12,10,11,2,2,21,21,0.6901392340660095,1.3712462841755297,1.8803163718651978,0.5647531820610995,0.7413327255808831,2.96100242208072e-05
43,5,6,9,7,8,3,3,21,-2,0.68543940782547,2.4436431932099127,5.9713920557211395,0.9173676813407357,0.932876876505169,5.059816493496193e-07
43,9,8,12,10,11,-2,-2,21,21,0.6730573773384094,1.390700407393604,1.9340476231247363,0.4077569829169309,0.5519447356112708,1.4901161193847656e-08
46,6,5,9,7,8,-3,-3,21,2,0.9601826071739197,1.9214984917323497,3.6921564537296945,0.514324685345045,0.634221678343486,1.9073951983728103e-05
46,9,8,12,10,11,2,2,21,21,0.9426657557487488,2.240243554806827,5.018691184853529,0.7752176534309043,0.776663130657569,2.4426039608231723e-05
47,6,5,9,7,8,-3,-3,21,1,1.2451146841049194,3.0316472285631595,9.190884918454685,0.7910342665165764,0.4222429958066776,1.5728519753636075e-05
47,7,8,12,10,11,-3,-3,21,21,0.7770967483520508,1.622368843159247,2.6320806632538734,0.4124368766185,0.3002611269481928,5.394899505992519e-06
49,6,5,9,7,8,-1,-1,21,2,0.8715183734893799,1.888282814310539,3.56561198682053,0.7014228331912075,0.16858292949931267,1.6107961645644108e-06
50,5,6,9,7,8,-2,-2,21,2,1.9234236478805542,4.737490446463091,22.443815730329057,0.7928331583042962,0.7104401223325959,1.6173080863017005e-06
50,9,8,12,10,11,2,2,21,21,1.4951608180999756,4.155061289763078,17.264534321687613,0.8481078146811306,0.8902729942795697,3.217132749012008e-06
51,6,5,9,7,8,-1,-1,21,2,1.7338541746139526,3.4924654485836393,12.19731490955052,0.5633142763915936,0.5635823309358298,6.032817509593012e-06
51,9,8,12,10,11,2,2,21,21,1.4430104494094849,3.6250034262336954,13.14064984020603,0.8041762427716872,0.8046627393680721,7.629685564003664e-06
51,22,30,38,36,37,2,2,21,21,0.5904510021209717,1.2772156513536697,1.6312798200627787,0.34440316062765114,0.35584108629800487,7.629543686923084e-06
52,6,5,9,7,8,-1,-1,21,2,1.6508851051330566,3.889091294873939,15.125031099864252,0.7658975901113337,0.7660419031431878,2.700195668339302e-06
52,9,8,12,10,11,2,2,21,21,1.0595548152923584,2.1374288886783197,4.5686022541566365,0.4478618744823405,0.4470889279207585,9.55999787589636e-07
52,10,13,18,16,17,2,2,21,21,0.9492106437683105,1.929028089816196,3.721149371299922,0.4280060570101442,0.7484494030222388,1.0662663308795752e-06
52,20,21,24,22,23,-1,-1,21,21,0.6424715518951416,1.3345318142844003,1.7809751633372128,0.6560633705516321,0.9050828214893922,2.9095447346220367e-08
53,5,6,9,7,8,-1,-1,21,2,1.5914702415466309,10.409864497867659,108.36527886396549,0.9760780638952291,0.9688591103613863,5.198690328636157e-06
53,7,8,12,10,11,-1,-1,21,21,1.2597618103027344,3.210989191547727,10.310451588236326,0.8119478884445849,0.8814784829061092,2.2938866369109738e-06
53,10,11,18,16,17,-1,-1,21,21,0.8901980519294739,1.832756907113623,3.3589978805726934,0.6306991516678055,0.8761507933502857,3.388746926667454e-06
53,9,12,15,13,14,2,2,21,21,1.2389405965805054,3.145237816348379,9.89252092138792,0.810055174594829,0.8177772611240993,5.69676673889873e-06
54,5,6,9,7,8,-2,-2,21,3,0.7486147284507751,1.8687966952537105,3.4924010881911896,0.224951161866906,0.5153627152244087,8.157620247108337e-07
55,6,5,9,7,8,-1,-1,21,1,0.9309212565422058,1.9959473449339966,3.9838058037490702,0.6886937018554028,0.2755868656899841,8.426418906303367e-06
55,9,8,12,10,11,1,1,21,21,0.5990596413612366,1.3580786861697194,1.844377717828471,0.7510855637274255,0.7963773931741561,6.9432535823696025e-06
55,10,11,15,13,14,1,1,21,21,0.5892861485481262,1.182349714033729,1.3979508462756405,0.5026534823821185,0.41423000535993365,1.116249655114856e-05
57,11,12,16,14,15,2,2,21,21,0.6111855506896973,1.2468565659895623,1.5546512961512837,0.6253693459789785,0.7987446964798437,1.910431147974912e-06
57,14,15,19,17,18,2,2,21,21,0.5668764114379883,1.1337669215079886,1.2854274323057018,0.5343543134637779,0.8335306770560704,2.9879173826774527e-06
59,5,6,9,7,8,-3,-3,21,2,0.7950307130813599,1.6467753220027457,2.711868961157247,0.42309424698321574,0.35229264292103224,3.211988415430849e-05
60,5,6,9,7,8,-1,-1,21,1,1.182723879814148,3.593207666245051,12.911141332762206,0.8774050325316044,0.8963531098156701,1.2164313573812574e-06
60,9,10,18,16,17,1,1,21,21,0.5312204360961914,2.1135622117598074,4.46714522297901,0.9338495164798063,0.840043543177664,1.4619094781837301e-07
60,12,11,15,13,14,-1,-1,21,21,0.5375849604606628,1.2456666068046327,1.5516852953081672,0.7686904330210257,0.8908776830190601,1.4308267313677768e-06
61,5,6,9,7,8,2,2,21,-1,0.820064902305603,1.880465188641757,3.5361493256934784,0.2776651043082659,0.660957449628412,2.7523215185770664e-06
63,7,10,15,13,14,1,1,21,21,0.6132647395133972,1.22695030624842,1.5054070540030917,0.5459405182339273,0.3528165942537049,9.028666819663639e-08
65,6,5,9,7,8,-2,-2,21,1,0.6002230644226074,1.7275721288150796,2.9845054602586663,0.864493374932364,0.9431550781215041,5.135728853842004e-06
66,6,5,9,7,8,1,1,21,-1,0.6049736738204956,1.2113648352044284,1.467404763969852,0.5570509052806965,0.5106950732991963,4.0672254752982203e-07
66,9,8,12,10,11,-1,-1,21,21,0.5644354820251465,1.1530046236025495,1.329419662048857,0.4437970136330324,0.49713276110065535,9.8843121241194e-08
68,6,5,13,11,12,-3,-3,21,3,0.6547542214393616,1.9232446244963202,3.698869885653991,0.8746662844332883,0.9551090788841554,8.688875269751053e-07
69,5,6,9,7,8,-3,-3,21,2,0.7344700694084167,1.471955411638875,2.1666527338529704,0.5652592787052181,0.43046787762387656,4.10855807072033e-05
72,9,10,13,11,12,2,2,21,21,0.6744396686553955,1.3782986875804257,1.8997072721859238,0.42992567334066784,0.21561627394248192,1.1366880805614015e-05
74,5,6,9,7,8,1,1,21,-2,0.7412621974945068,1.6116166779877428,2.597308316768248,0.7083053839865648,0.4907773881966611,2.7805842290138994e-06
75,5,6,9,7,8,-1,-1,21,1,0.7159404754638672,1.978941942792476,3.916211212943259,0.8493180076678691,0.5281030808824052,1.8767135529303487e-05
76,5,6,9,7,8,-1,-1,21,2,0.5480837821960449,1.1625777910625152,1.3515871202717973,0.6914317168995603,0.8804275357397563,3.6266193739520528e-06
77,6,5,9,7,8,-3,-3,21,2,0.7038018703460693,2.2140571043092985,4.902048861142475,0.8914779107008325,0.3218120883679964,2.7722287846499494e-05
77,9,8,12,10,11,2,2,21,21,0.6014903783798218,1.233269857518984,1.5209545414648948,0.48932371345592024,0.49122357573274306,2.1175218553312573e-05
82,6,5,13,11,12,-3,-3,21,2,1.088667392730713,2.2067601840548448,4.869790509929771,0.6018911000786942,0.3198482559925691,5.7915597727542785e-05
82,20,19,23,21,22,2,2,21,21,0.7976908683776855,1.5822094450331239,2.5033867279520257,0.5033741414466646,0.725525397153273,4.1085560440543824e-05
83,6,5,9,7,8,-2,-2,21,3,1.0082435607910156,4.56329122856907,20.823626836735414,0.9488015862872592,0.5869993103068492,4.49383051846882e-06
86,5,6,9,7,8,1,1,21,-3,1.0995310544967651,2.3042754101516563,5.309685165829584,0.656348152683617,0.6386248367950806,3.8146984297780405e-05
86,9,8,12,10,11,-3,-3,21,21,0.7470095753669739,1.680972011563554,2.8256669036600215,0.33013722647352745,0.4139113492218913,7.6294672904792e-06
89,9,10,13,11,12,1,1,21,-2,1.2185850143432617,2.808086483291214,7.885349697642817,0.7517874899718986,0.691584915818697,1.4655532556765124e-05
89,13,12,16,14,15,-2,-2,21,21,0.9855527877807617,2.7516650539758243,7.571660569271777,0.8510445463196749,0.8655163814716281,9.216268816630293e-06
90,5,6,9,7,8,2,2,21,-2,0.9997407793998718,9.869814757831124,97.41324335390105,0.9896306582873753,0.9903638673568554,0.000102447903449686
90,7,10,15,13,14,2,2,21,21,0.8521913886070251,1.9746722860987032,3.899330637486279,0.7392089614783945,0.7645113743978152,6.560974505007525e-05
