event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
447,4,9,3,6,5,2,2,3,3,1.3542400598526,4.652743556574292,21.64802260324359,0.6298612351607249,0.8965451595026738,0.0032592738257002244
921,3,9,4,5,6,2,2,3,3,2.177112340927124,4.535166912904176,20.56773892790079,0.4504740303051699,0.35883307223790945,0.0066310894582199825
1280,3,9,4,5,6,2,2,3,3,1.205986499786377,7.746528094783482,60.0086975232698,0.6560510359129039,0.9711389698670915,0.013026337325553717
3296,3,13,4,5,6,2,2,3,3,2.8052499294281006,7.792712496665003,60.726368055678904,0.6128579000232385,0.844759318640283,0.007577325495715936
3829,4,9,3,6,5,2,2,3,3,1.0155830383300781,6.242874497613909,38.97348199295811,0.6541022365817093,0.9666402435010985,0.015505822750744629
3934,3,9,4,5,6,2,2,3,3,1.2985142469406128,5.244741394218891,27.50731229223311,0.6402248692722948,0.9261164888409704,0.0057771531478772245
4805,4,9,3,6,5,2,2,3,3,1.090582013130188,6.017827786247274,36.21425126492977,0.6518781069186643,0.9594361481002665,0.006598219644147321
