event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
849,22,37,23,24,25,21,21,-1,-1,1.023681640625,3.559626074178895,12.670937787974253,0.6296705242507219,0.9019950262014902,0.0029790175652700678
3231,46,51,83,48,49,21,21,-1,21,0.583400309085846,1.5079117381589904,2.2737978100776672,0.7797437416407187,0.7800093142482991,0.0151887144366399
3231,46,52,81,48,49,21,21,-1,21,0.583400309085846,1.5079117381589904,2.2737978100776672,0.779042288472186,0.7800093142482991,0.008988428912254173
