event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
619,3,9,4,5,6,1,1,1,1,3.350938320159912,9.234284444922071,85.27200920972973,0.6142392993329301,0.8432548647773015,0.013462716428164032
2704,3,16,4,5,6,1,1,1,1,1.552734136581421,4.908499123621444,24.09336364659248,0.372066419403598,0.11634699174253307,0.018652008246245737
3044,4,9,3,5,6,1,1,1,1,1.0098743438720703,4.609167932525654,21.24442903022282,0.6467460519459998,0.9453030426244481,0.005150635534781722
