event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
549,12,13,19,17,18,21,2,-2,2,1.5299317836761475,3.1064098478335747,9.649782142717413,0.41573684405619343,0.27173754987898746,3.1369999610187096e-05
550,27,26,40,38,39,21,-2,2,21,0.8048449158668518,1.826382436871267,3.335672805711827,0.2797355678796608,0.5021866537962562,3.4472927429488312e-06
561,36,35,52,50,51,21,-1,1,21,1.170064926147461,2.394088280603136,5.731658695321279,0.39853416873605074,0.11407790858877515,8.037826407711193e-07
597,11,12,15,13,14,21,-3,3,21,0.6515687704086304,1.365249208232922,1.8639054005806202,0.6015068168158125,0.7548486281362354,1.2894456179609261e-06
611,8,7,12,10,11,21,1,-1,2,0.8931781649589539,1.8392215382527741,3.382735866772901,0.3889098835564037,0.7607760251940269,6.590711330232818e-07
620,12,11,15,13,14,21,3,-3,21,0.8259773254394531,1.6804551218357933,2.823929416504151,0.5736929020172026,0.5364471682852563,7.955043205642187e-08
633,14,24,27,25,26,21,-1,1,21,0.5451266765594482,1.1027890793329425,1.2161437534959987,0.4324747323651044,0.5987700054085363,1.5259050994725946e-05
638,16,15,19,17,18,21,3,-3,21,1.183241605758667,2.3986437701499277,5.753491936079058,0.4258387858038279,0.9004278563101851,1.585085763363014e-05
668,14,15,18,16,17,21,-1,1,-3,0.5937162637710571,1.6930483069695168,2.866412569732347,0.8281635767852168,0.9148433869466275,1.1641176821828168e-05
735,15,24,27,25,26,21,2,-2,21,0.8400542736053467,2.0648267797449593,4.2635096303519395,0.22459162529555218,0.1714234322072334,4.982427804857638e-07
735,32,33,42,40,41,21,2,-2,2,0.5077301859855652,1.17555161593912,1.3819216017370763,0.7084483629080994,0.2876929032109465,2.8579477865382747e-05
738,8,9,16,14,15,21,2,-2,1,0.5869170427322388,1.4591868456546688,2.129226250531622,0.764895607936504,0.2761583170554784,4.239331358541199e-07
763,11,12,18,16,17,21,-1,1,-2,0.630782425403595,1.2926106630948369,1.6708423263464738,0.40634891447442006,0.3270683612218598,2.198729326128847e-06
775,20,19,30,28,29,21,-2,2,21,0.7747378349304199,1.6351770012704807,2.6738038254839216,0.646155464379587,0.6187444448824491,1.361770684006381e-07
784,8,7,12,10,11,21,-1,1,-2,0.9515777230262756,2.1202800118225253,4.4955873285341275,0.7094589802545772,0.7735600564081364,2.0445023080724841e-07
785,11,12,15,13,14,21,1,-1,21,0.783893883228302,2.8579854653463395,8.168080920130933,0.09326942401226321,0.924810194284371,1.4691336465991886e-05
787,26,30,41,39,40,21,3,-3,21,0.5064452290534973,1.850757934247755,3.4253049311810173,0.8496757508045215,0.8498233649647272,3.33104732926108e-05
790,38,37,74,72,73,21,-1,1,21,0.6864089369773865,1.4556430275471675,2.118896623646684,0.3518174344677107,0.3117885313485216,3.8167412621060435e-07
799,8,9,12,10,11,21,2,-2,3,0.6435530781745911,2.1118775151259004,4.460026638894348,0.8765530548911764,0.9266093359932136,1.8940454451570154e-07
806,8,9,12,10,11,21,-3,3,-2,1.1428554058074951,3.1590105374842925,9.9793475759368,0.827382259564533,0.8318842420255694,2.572166605868724e-06
806,17,18,21,19,20,21,-1,1,21,1.001247525215149,2.4947138862112834,6.223597374055403,0.21243017362933278,0.48018540076827554,2.1696418193818683e-07
815,8,9,12,10,11,21,2,-2,2,0.9685274362564087,2.686644376670617,7.218058006695848,0.1641468080049848,0.9126297013159762,3.795456585077295e-06
817,10,7,15,13,14,21,-2,2,-1,0.6042928695678711,1.3391357600292326,1.7932845837890703,0.6873633403581811,0.7116478716212469,8.940696716308594e-08
829,14,15,24,22,23,21,2,-2,1,0.6116337776184082,1.2416022786172056,1.541576218267437,0.5726271586927163,0.09431462428361484,1.551008499002247e-05
833,44,43,59,57,58,21,3,-3,21,1.8565834760665894,3.7323337566846146,13.930315271287487,0.5487567479478608,0.5263842556190429,4.94271763879716e-07
833,84,83,148,146,147,21,-2,2,21,0.5507962703704834,1.1671073968564987,1.3621396757971524,0.6362997880136884,0.8169174030057983,2.6985916526451813e-06
833,99,98,112,110,111,21,-2,2,-1,0.7886956334114075,1.656128156407212,2.7427604704447504,0.36029558836668535,0.6322575544186657,4.21902900604098e-06
846,8,9,12,10,11,21,-2,2,-1,1.111336588859558,2.2557610180058036,5.08845777035458,0.5813060580926456,0.5821838824354993,1.1464330167540759e-05
849,32,28,44,42,43,21,-3,3,21,0.7377037405967712,1.7547948738364607,3.07930504924272,0.27757008147367146,0.2413220470892891,5.945544643181564e-07
874,16,13,21,19,20,21,3,-3,21,0.5734835863113403,1.176206954384317,1.3834627995420306,0.4420806361990586,0.5760072742474822,5.3948625277534976e-06
881,16,15,21,19,20,21,-3,3,21,0.6621856093406677,1.3256278186388537,1.7572891135492057,0.514292902245344,0.35275538145196467,6.457902815156161e-07
896,8,7,12,10,11,21,3,-3,1,0.5845788717269897,1.3359064539815124,1.7846460537894586,0.6603990941152926,0.2605545571180355,2.387164889621778e-06
900,14,15,21,19,20,21,-3,3,-1,0.7150283455848694,1.4386025467609647,2.0695772875471334,0.5391221080115876,0.48849973802256974,1.2435249054720116e-07
924,11,12,18,16,17,21,-2,2,-1,0.7535779476165771,2.157862627899592,4.6563711208857335,0.15931808202098585,0.4214531067990165,8.805565060790871e-07
968,21,20,24,22,23,21,1,-1,21,0.5090231895446777,1.3776047168526417,1.8977947558946475,0.20432147724351177,0.17328697447970162,3.3756685715825615e-07
972,8,7,12,10,11,21,3,-3,2,0.6177615523338318,1.2348501872845363,1.5248549850366544,0.47956692184183014,0.500945668480988,7.367423732879408e-05
1025,8,9,12,10,11,21,-1,1,-2,0.6545625329017639,1.3877423355500156,1.9258287898778121,0.35406960542564986,0.6893503903157567,2.4727426399867e-06
1031,22,23,32,30,31,21,1,-1,3,1.1940370798110962,2.40158933286776,5.767631323744213,0.5509314529904332,0.8083250055934543,1.2377834115800373e-07
1039,11,12,19,17,18,21,-1,1,21,0.6260446310043335,1.3667260125582532,1.8679399934033825,0.675523355779511,0.6929136153396546,1.0668193381876127e-06
